Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Ethiopia,Afar,ZONE2,Abaala,Garlic,Retail,15/05/2024,Monthly,250.0,KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/05/2024,Monthly,20000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/06/2024,Monthly,12000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/07/2024,Monthly,15000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/08/2024,Monthly,16000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/09/2024,Monthly,17000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/10/2024,Monthly,24000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/01/2025,Monthly,28000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/02/2025,Monthly,28000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/03/2025,Monthly,30000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (camel),Retail,15/05/2024,Monthly,60000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (camel),Retail,15/06/2024,Monthly,58000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (camel),Retail,15/01/2025,Monthly,60000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (camel),Retail,15/02/2025,Monthly,58000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (camel),Retail,15/03/2025,Monthly,62000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (cattle),Retail,15/05/2024,Monthly,37000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (cattle),Retail,15/06/2024,Monthly,50000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (cattle),Retail,15/01/2025,Monthly,40000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (cattle),Retail,15/02/2025,Monthly,40000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (cattle),Retail,15/03/2025,Monthly,40000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/05/2024,Monthly,7000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/06/2024,Monthly,4500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/07/2024,Monthly,4200.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/08/2024,Monthly,5000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/09/2024,Monthly,4500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/10/2024,Monthly,5500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/01/2025,Monthly,6500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/02/2025,Monthly,6800.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Goat),Retail,15/03/2025,Monthly,7000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/05/2024,Monthly,6200.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/06/2024,Monthly,3800.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/07/2024,Monthly,4500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/08/2024,Monthly,5000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/09/2024,Monthly,4500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/10/2024,Monthly,5000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/01/2025,Monthly,6000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/02/2025,Monthly,6500.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Livestock (Sheep),Retail,15/03/2025,Monthly,6000.0,Head,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/05/2024,Monthly,5000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/06/2024,Monthly,5000.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/07/2024,Monthly,4600.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/09/2024,Monthly,4600.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/10/2024,Monthly,4600.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/01/2025,Monthly,5200.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/02/2025,Monthly,5600.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Maize (white),Retail,15/03/2025,Monthly,5200.0,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Milk,Retail,15/05/2024,Monthly,100.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Milk,Retail,15/06/2024,Monthly,120.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/05/2024,Monthly,200.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/06/2024,Monthly,180.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/07/2024,Monthly,170.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/08/2024,Monthly,260.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/09/2024,Monthly,220.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/10/2024,Monthly,250.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/01/2025,Monthly,240.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/02/2025,Monthly,300.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Oil (palm),Retail,15/03/2025,Monthly,320.0,L,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Onions,Retail,15/05/2024,Monthly,45.0,KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Onions,Retail,15/06/2024,Monthly,80.0,KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Onions,Retail,15/07/2024,Monthly,60.0,KG,ETB,WFP,,,,Aggregated,,,
